,Description,Chromosome.Name,Gene.Start..bp.,Gene.End..bp.,Associated.Gene.Name,Gene.Biotype
ENSG00000050327,Rho guanine nucleotide exchange factor (GEF) 5 [Source:HGNC Symbol;Acc:13209],7,144052381,144077725,ARHGEF5,protein_coding
ENSG00000153291,"solute carrier family 25, member 27 [Source:HGNC Symbol;Acc:21065]",6,46620678,46645930,SLC25A27,protein_coding
ENSG00000135617,protease-associated domain containing 1 [Source:HGNC Symbol;Acc:16047],2,73455134,73460366,PRADC1,protein_coding
ENSG00000112559,MyoD family inhibitor [Source:HGNC Symbol;Acc:6967],6,41604620,41621984,MDFI,protein_coding
ENSG00000100580,transmembrane emp24 protein transport domain containing 8 [Source:HGNC Symbol;Acc:18633],14,77801364,77843452,TMED8,protein_coding
ENSG00000137714,ferredoxin 1 [Source:HGNC Symbol;Acc:3638],11,110300607,110335605,FDX1,protein_coding
ENSG00000170627,gametocyte specific factor 1 [Source:HGNC Symbol;Acc:26565],12,54849734,54867386,GTSF1,protein_coding
ENSG00000095739,BMP and activin membrane-bound inhibitor [Source:HGNC Symbol;Acc:30251],10,28966271,28971868,BAMBI,protein_coding
ENSG00000232677,long intergenic non-protein coding RNA 665 [Source:HGNC Symbol;Acc:44323],19,36803969,36822620,LINC00665,lincRNA
ENSG00000214787,"membrane-spanning 4-domains, subfamily A, member 4E [Source:HGNC Symbol;Acc:14284]",11,59968726,60010561,MS4A4E,protein_coding
ENSG00000140471,lines homolog (Drosophila) [Source:HGNC Symbol;Acc:30922],15,101099574,101143435,LINS,protein_coding
ENSG00000230761,,10,46797868,46809021,RP11-342C24.8,lincRNA
ENSG00000181982,coiled-coil domain containing 149 [Source:HGNC Symbol;Acc:25405],4,24807739,24981826,CCDC149,protein_coding
ENSG00000167772,angiopoietin-like 4 [Source:HGNC Symbol;Acc:16039],19,8428173,8439257,ANGPTL4,protein_coding
ENSG00000204410,mutS homolog 5 [Source:HGNC Symbol;Acc:7328],6,31707725,31732622,MSH5,protein_coding
ENSG00000170035,ubiquitin-conjugating enzyme E2E 3 [Source:HGNC Symbol;Acc:12479],2,181831975,181941312,UBE2E3,protein_coding
ENSG00000162888,chromosome 1 open reading frame 147 [Source:HGNC Symbol;Acc:32061],1,206664449,206671061,C1orf147,protein_coding
ENSG00000185730,zinc finger protein 696 [Source:HGNC Symbol;Acc:25872],8,144371846,144380231,ZNF696,protein_coding
ENSG00000129873,"chromodomain protein, Y-linked, 2B [Source:HGNC Symbol;Acc:23921]",Y,19989290,19992100,CDY2B,protein_coding
ENSG00000189369,G1 to S phase transition 2 [Source:HGNC Symbol;Acc:4622],X,51486481,51489324,GSPT2,protein_coding
ENSG00000188655,"ribonuclease, RNase A family, 9 (non-active) [Source:HGNC Symbol;Acc:20673]",14,21024252,21029090,RNASE9,protein_coding
ENSG00000174276,"zinc finger, HIT-type containing 2 [Source:HGNC Symbol;Acc:1177]",11,64883875,64885170,ZNHIT2,protein_coding
ENSG00000267363,,19,36870253,36871814,CTD-3162L10.4,lincRNA
ENSG00000125046,ssu-2 homolog (C. elegans) [Source:HGNC Symbol;Acc:24809],3,8661086,8786726,SSUH2,protein_coding
ENSG00000100583,sterile alpha motif domain containing 15 [Source:HGNC Symbol;Acc:18631],14,77843032,77857840,SAMD15,protein_coding
ENSG00000096092,transmembrane protein 14A [Source:HGNC Symbol;Acc:21076],6,52535907,52551386,TMEM14A,protein_coding
ENSG00000187772,lin-28 homolog B (C. elegans) [Source:HGNC Symbol;Acc:32207],6,105404923,105531207,LIN28B,protein_coding
ENSG00000140009,estrogen receptor 2 (ER beta) [Source:HGNC Symbol;Acc:3468],14,64550950,64804830,ESR2,protein_coding
ENSG00000141384,"TAF4b RNA polymerase II, TATA box binding protein (TBP)-associated factor, 105kDa [Source:HGNC Symbol;Acc:11538]",18,23805900,23971649,TAF4B,protein_coding
ENSG00000165805,chromosome 12 open reading frame 50 [Source:HGNC Symbol;Acc:26665],12,88373816,88427814,C12orf50,protein_coding
ENSG00000006451,v-ral simian leukemia viral oncogene homolog A (ras related) [Source:HGNC Symbol;Acc:9839],7,39663082,39747723,RALA,protein_coding
ENSG00000123080,"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4) [Source:HGNC Symbol;Acc:1789]",1,51426417,51440305,CDKN2C,protein_coding
ENSG00000198142,sosondowah ankyrin repeat domain family member C [Source:HGNC Symbol;Acc:26149],2,110371911,110376563,SOWAHC,protein_coding
ENSG00000237330,ring finger protein 223 [Source:HGNC Symbol;Acc:40020],1,1006346,1009687,RNF223,protein_coding
ENSG00000136653,Ras association (RalGDS/AF-6) domain family member 5 [Source:HGNC Symbol;Acc:17609],1,206680879,206762616,RASSF5,protein_coding
ENSG00000105755,ethylmalonic encephalopathy 1 [Source:HGNC Symbol;Acc:23287],19,44010871,44031396,ETHE1,protein_coding
ENSG00000144381,heat shock 60kDa protein 1 (chaperonin) [Source:HGNC Symbol;Acc:5261],2,198351305,198381461,HSPD1,protein_coding
ENSG00000246211,,11,74022407,74035750,RP11-632K5.3,lincRNA
ENSG00000266935,,19,37119695,37121092,CTD-3234P18.2,lincRNA
ENSG00000197150,"ATP-binding cassette, sub-family B (MDR/TAP), member 8 [Source:HGNC Symbol;Acc:49]",7,150725510,150744869,ABCB8,protein_coding
ENSG00000165555,NADP-dependent oxidoreductase domain containing 1 [Source:HGNC Symbol;Acc:20487],14,77860364,77889860,NOXRED1,protein_coding
ENSG00000149806,Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed [Source:HGNC Symbol;Acc:3597],11,64888100,64889945,FAU,protein_coding
ENSG00000166938,DIS3 mitotic control homolog (S. cerevisiae)-like [Source:HGNC Symbol;Acc:28698],15,66585555,66626236,DIS3L,protein_coding
ENSG00000164134,"N(alpha)-acetyltransferase 15, NatA auxiliary subunit [Source:HGNC Symbol;Acc:30782]",4,140222609,140341187,NAA15,protein_coding
ENSG00000257435,,12,33141697,33146688,RP11-267D19.1,lincRNA
ENSG00000159261,claudin 14 [Source:HGNC Symbol;Acc:2035],21,37832919,37948867,CLDN14,protein_coding
ENSG00000123739,"phospholipase A2, group XIIA [Source:HGNC Symbol;Acc:18554]",4,110631145,110651233,PLA2G12A,protein_coding
ENSG00000224032,EPB41L4A antisense RNA 1 [Source:HGNC Symbol;Acc:30749],5,111496223,111499973,EPB41L4A-AS1,lincRNA
ENSG00000259937,,12,33557810,33558831,RP11-438D14.2,lincRNA
ENSG00000259925,,16,19354969,19413015,CTA-363E6.2,lincRNA
ENSG00000112276,blood vessel epicardial substance [Source:HGNC Symbol;Acc:1152],6,105544697,105585049,BVES,protein_coding
ENSG00000244067,glutathione S-transferase alpha 2 [Source:HGNC Symbol;Acc:4627],6,52614897,52628367,GSTA2,protein_coding
ENSG00000080031,"protein tyrosine phosphatase, receptor type, H [Source:HGNC Symbol;Acc:9672]",19,55692616,55720874,PTPRH,protein_coding
ENSG00000224982,transmembrane protein 233 [Source:HGNC Symbol;Acc:37219],12,120031264,120079363,TMEM233,protein_coding
ENSG00000171813,PWWP domain containing 2B [Source:HGNC Symbol;Acc:25150],10,134210672,134231367,PWWP2B,protein_coding
ENSG00000143951,WD repeat containing planar cell polarity effector [Source:HGNC Symbol;Acc:28027],2,63348518,64054977,WDPCP,protein_coding
ENSG00000115607,interleukin 18 receptor accessory protein [Source:HGNC Symbol;Acc:5989],2,103035149,103069025,IL18RAP,protein_coding
ENSG00000254837,,11,74204411,74209578,AP001372.2,lincRNA
ENSG00000188158,Nance-Horan syndrome (congenital cataracts and dental anomalies) [Source:HGNC Symbol;Acc:7820],X,17393543,17754114,NHS,protein_coding
ENSG00000204006,chromosome 1 open reading frame 185 [Source:HGNC Symbol;Acc:28096],1,51567906,51613752,C1orf185,protein_coding
ENSG00000267976,,21,37858165,37860058,AP000695.1,protein_coding
ENSG00000064300,nerve growth factor receptor [Source:HGNC Symbol;Acc:7809],17,47572655,47592379,NGFR,protein_coding
ENSG00000174945,archaelysin family metallopeptidase 1 [Source:HGNC Symbol;Acc:22231],7,2719156,2815134,AMZ1,protein_coding
ENSG00000243660,zinc finger protein 487 [Source:HGNC Symbol;Acc:23488],10,43932282,43991517,ZNF487,protein_coding
ENSG00000015568,RANBP2-like and GRIP domain containing 5 [Source:HGNC Symbol;Acc:32418],2,110550335,110615272,RGPD5,protein_coding
ENSG00000144021,cytosolic iron-sulfur protein assembly 1 [Source:HGNC Symbol;Acc:14280],2,96931870,96939087,CIAO1,protein_coding
ENSG00000263253,,16,20220247,20220847,RP11-204E4.3,lincRNA
ENSG00000174325,disrupted in renal carcinoma 1 [Source:HGNC Symbol;Acc:15760],2,189598882,189654831,DIRC1,protein_coding
ENSG00000162302,"ribosomal protein S6 kinase, 90kDa, polypeptide 4 [Source:HGNC Symbol;Acc:10433]",11,64126620,64139687,RPS6KA4,protein_coding
ENSG00000176472,zinc finger protein 575 [Source:HGNC Symbol;Acc:27606],19,44029649,44040282,ZNF575,protein_coding
ENSG00000123091,ring finger protein 11 [Source:HGNC Symbol;Acc:10056],1,51701943,51739127,RNF11,protein_coding
ENSG00000179111,hes family bHLH transcription factor 7 [Source:HGNC Symbol;Acc:15977],17,8023908,8027410,HES7,protein_coding
ENSG00000065883,cyclin-dependent kinase 13 [Source:HGNC Symbol;Acc:1733],7,39989636,40136733,CDK13,protein_coding
ENSG00000157680,"diacylglycerol kinase, iota [Source:HGNC Symbol;Acc:2855]",7,137065783,137531838,DGKI,protein_coding
ENSG00000205089,"cyclin I family, member 2 [Source:HGNC Symbol;Acc:33869]",5,132083137,132089856,CCNI2,protein_coding
ENSG00000267052,,7,106211393,106239354,CTB-30L5.1,lincRNA
ENSG00000159263,single-minded family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:10883],21,38071433,38122218,SIM2,protein_coding
ENSG00000137727,Rho GTPase activating protein 20 [Source:HGNC Symbol;Acc:18357],11,110447766,110583912,ARHGAP20,protein_coding
ENSG00000260201,,16,20592210,20598006,RP11-143N13.2,lincRNA
ENSG00000242641,long intergenic non-protein coding RNA 971 [Source:HGNC Symbol;Acc:48737],3,84687557,84930830,LINC00971,lincRNA
ENSG00000267454,ZNF582 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:25213],19,56905025,56910541,ZNF582-AS1,lincRNA
ENSG00000091164,thioredoxin-like 1 [Source:HGNC Symbol;Acc:12436],18,54264439,54318831,TXNL1,protein_coding
ENSG00000228742,,7,106415457,106436010,RP5-884M6.1,lincRNA
ENSG00000168090,COP9 signalosome subunit 6 [Source:HGNC Symbol;Acc:21749],7,99686577,99689823,COPS6,protein_coding
ENSG00000261092,,16,50424827,50429044,RP11-21B23.2,lincRNA
ENSG00000260573,,16,50441612,50442424,RP11-21B23.3,lincRNA
ENSG00000152779,"solute carrier family 16, member 12 [Source:HGNC Symbol;Acc:23094]",10,91190051,91316398,SLC16A12,protein_coding
ENSG00000185236,"RAB11B, member RAS oncogene family [Source:HGNC Symbol;Acc:9761]",19,8454865,8469318,RAB11B,protein_coding
ENSG00000224914,long intergenic non-protein coding RNA 863 [Source:HGNC Symbol;Acc:45162],10,89102493,89117639,LINC00863,lincRNA
ENSG00000260555,,7,149697841,149702213,RP11-728K20.2,lincRNA
ENSG00000183475,ankyrin repeat and SOCS box containing 7 [Source:HGNC Symbol;Acc:17182],15,101142739,101191910,ASB7,protein_coding
ENSG00000072736,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3 [Source:HGNC Symbol;Acc:7777]",16,68118654,68263162,NFATC3,protein_coding
ENSG00000239513,,3,137490791,137499720,RP11-2A4.3,lincRNA
ENSG00000214954,leucine rich repeat containing 69 [Source:HGNC Symbol;Acc:34303],8,92114060,92231464,LRRC69,protein_coding
ENSG00000184307,"zinc finger, DHHC-type containing 23 [Source:HGNC Symbol;Acc:28654]",3,113666748,113684248,ZDHHC23,protein_coding
ENSG00000166770,ZNF667 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:44321],19,56988619,57012035,ZNF667-AS1,lincRNA
ENSG00000261685,,16,50679720,50683160,RP11-401P9.4,lincRNA
ENSG00000160695,vacuolar protein sorting 11 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:14583],11,118938403,118952688,VPS11,protein_coding
ENSG00000255136,,11,74919099,74952218,CTD-2562J17.4,lincRNA
ENSG00000153820,"SPHK1 interactor, AKAP domain containing [Source:HGNC Symbol;Acc:30619]",2,228844666,229046361,SPHKAP,protein_coding
ENSG00000089248,endoplasmic reticulum protein 29 [Source:HGNC Symbol;Acc:13799],12,112451120,112461255,ERP29,protein_coding
ENSG00000175003,"solute carrier family 22 (organic cation transporter), member 1 [Source:HGNC Symbol;Acc:10963]",6,160542821,160579750,SLC22A1,protein_coding
ENSG00000115241,"protein phosphatase, Mg2+/Mn2+ dependent, 1G [Source:HGNC Symbol;Acc:9278]",2,27604061,27632554,PPM1G,protein_coding
ENSG00000267848,Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0R1J9],20,62585007,62585495,AL118506.1,protein_coding
ENSG00000168542,"collagen, type III, alpha 1 [Source:HGNC Symbol;Acc:2201]",2,189839046,189877472,COL3A1,protein_coding
ENSG00000189149,CRYM antisense RNA 1 [Source:HGNC Symbol;Acc:34405],16,21312170,21329912,CRYM-AS1,lincRNA
ENSG00000131591,chromosome 1 open reading frame 159 [Source:HGNC Symbol;Acc:26062],1,1017198,1051741,C1orf159,protein_coding
ENSG00000143486,eukaryotic translation initiation factor 2D [Source:HGNC Symbol;Acc:6583],1,206744620,206785904,EIF2D,protein_coding
ENSG00000249931,"golgin A8 family, member K [Source:HGNC Symbol;Acc:38652]",15,32684983,32695396,GOLGA8K,protein_coding
ENSG00000007216,"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2 [Source:HGNC Symbol;Acc:10917]",17,26800311,26824799,SLC13A2,protein_coding
ENSG00000128918,"aldehyde dehydrogenase 1 family, member A2 [Source:HGNC Symbol;Acc:15472]",15,58245622,58790065,ALDH1A2,protein_coding
ENSG00000256362,,12,127808700,127824617,RP11-955H22.3,lincRNA
ENSG00000127586,"CTF18, chromosome transmission fidelity factor 18 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:18435]",16,838046,850737,CHTF18,protein_coding
ENSG00000073050,X-ray repair complementing defective repair in Chinese hamster cells 1 [Source:HGNC Symbol;Acc:12828],19,44047192,44084625,XRCC1,protein_coding
ENSG00000179222,"melanoma antigen family D, 1 [Source:HGNC Symbol;Acc:6813]",X,51546103,51645453,MAGED1,protein_coding
ENSG00000256538,,12,34190373,34209675,RP11-847H18.3,lincRNA
ENSG00000161395,post-GPI attachment to proteins 3 [Source:HGNC Symbol;Acc:23719],17,37827375,37853050,PGAP3,protein_coding
ENSG00000196700,zinc finger protein 512B [Source:HGNC Symbol;Acc:29212],20,62588055,62680113,ZNF512B,protein_coding
ENSG00000255628,,12,34302774,34315173,RP11-313F23.3,lincRNA
ENSG00000263489,,17,62050280,62066782,CTC-264K15.6,lincRNA
ENSG00000261703,,16,50840579,50841540,RP11-327F22.5,lincRNA
ENSG00000131174,cytochrome c oxidase subunit VIIb [Source:HGNC Symbol;Acc:2291],X,77154935,77162870,COX7B,protein_coding
ENSG00000260042,,16,50890525,50913189,CTD-2034I21.1,lincRNA
ENSG00000047634,sex comb on midleg-like 1 (Drosophila) [Source:HGNC Symbol;Acc:10580],X,17755588,17773105,SCML1,protein_coding
ENSG00000263082,,16,50914120,50918012,CTD-2034I21.2,lincRNA
ENSG00000125445,mitochondrial ribosomal protein S7 [Source:HGNC Symbol;Acc:14499],17,73257755,73262454,MRPS7,protein_coding
ENSG00000261241,,16,50918120,50934962,RP11-883G14.1,lincRNA
ENSG00000117410,"ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b [Source:HGNC Symbol;Acc:861]",1,44440159,44443967,ATP6V0B,protein_coding
ENSG00000255652,,12,34343972,34371788,RP11-313F23.4,lincRNA
ENSG00000132182,nucleoporin 210kDa [Source:HGNC Symbol;Acc:30052],3,13357737,13461809,NUP210,protein_coding
ENSG00000118160,"solute carrier family 8 (sodium/calcium exchanger), member 2 [Source:HGNC Symbol;Acc:11069]",19,47931274,47975425,SLC8A2,protein_coding
ENSG00000236371,"cancer/testis antigen family 47, member A1 [Source:HGNC Symbol;Acc:33282]",X,120111460,120119642,CT47A1,protein_coding
ENSG00000261637,,16,51051669,51069688,RP11-883G14.2,lincRNA
ENSG00000229227,,10,46937463,46951699,RP11-38L15.2,lincRNA
ENSG00000146192,"FYVE, RhoGEF and PH domain containing 2 [Source:HGNC Symbol;Acc:3664]",6,36973422,36996846,FGD2,protein_coding
ENSG00000260605,,16,51069029,51072675,RP11-883G14.3,lincRNA
ENSG00000138442,WD repeat domain 12 [Source:HGNC Symbol;Acc:14098],2,203739505,203879521,WDR12,protein_coding
ENSG00000180251,"solute carrier family 9, subfamily A (NHE4, cation proton antiporter 4), member 4 [Source:HGNC Symbol;Acc:11077]",2,103089762,103150431,SLC9A4,protein_coding
ENSG00000129965,INS-IGF2 readthrough [Source:HGNC Symbol;Acc:33527],11,2153768,2182439,INS-IGF2,protein_coding
ENSG00000173826,"potassium voltage-gated channel, subfamily H (eag-related), member 6 [Source:HGNC Symbol;Acc:18862]",17,61600695,61626338,KCNH6,protein_coding
ENSG00000124357,N-acetylglucosamine kinase [Source:HGNC Symbol;Acc:17174],2,71291474,71306935,NAGK,protein_coding
ENSG00000242362,"cancer/testis antigen family 47, member A2 [Source:HGNC Symbol;Acc:33283]",X,120111466,120114778,CT47A2,protein_coding
ENSG00000159267,holocarboxylase synthetase (biotin-(proprionyl-CoA-carboxylase (ATP-hydrolysing)) ligase) [Source:HGNC Symbol;Acc:4976],21,38123189,38362536,HLCS,protein_coding
ENSG00000110079,"membrane-spanning 4-domains, subfamily A, member 4A [Source:HGNC Symbol;Acc:13371]",11,60048014,60076445,MS4A4A,protein_coding
ENSG00000164402,septin 8 [Source:HGNC Symbol;Acc:16511],5,132086509,132142933,8-Sep,protein_coding
ENSG00000162298,"synovial apoptosis inhibitor 1, synoviolin [Source:HGNC Symbol;Acc:20738]",11,64889252,64902004,SYVN1,protein_coding
ENSG00000100314,calcium binding protein 7 [Source:HGNC Symbol;Acc:20834],22,30116073,30127828,CABP7,protein_coding
ENSG00000130590,sterile alpha motif domain containing 10 [Source:HGNC Symbol;Acc:16129],20,62605466,62611361,SAMD10,protein_coding
ENSG00000165240,"ATPase, Cu++ transporting, alpha polypeptide [Source:HGNC Symbol;Acc:869]",X,77166194,77305892,ATP7A,protein_coding
ENSG00000184254,"aldehyde dehydrogenase 1 family, member A3 [Source:HGNC Symbol;Acc:409]",15,101417919,101456831,ALDH1A3,protein_coding
ENSG00000113555,protocadherin 12 [Source:HGNC Symbol;Acc:8657],5,141323150,141349304,PCDH12,protein_coding
ENSG00000132429,popeye domain containing 3 [Source:HGNC Symbol;Acc:17649],6,105606155,105627870,POPDC3,protein_coding
ENSG00000214102,WEE1 homolog 2 (S. pombe) [Source:HGNC Symbol;Acc:19684],7,141408153,141431071,WEE2,protein_coding
ENSG00000091073,deltex homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:15973],7,76090993,76135312,DTX2,protein_coding
ENSG00000255945,,12,128082713,128084260,RP11-351O2.1,lincRNA
ENSG00000134504,potassium channel tetramerization domain containing 1 [Source:HGNC Symbol;Acc:18249],18,24034874,24237365,KCTD1,protein_coding
ENSG00000204365,chromosome 10 open reading frame 126 [Source:HGNC Symbol;Acc:28693],10,29135337,29170827,C10orf126,protein_coding
ENSG00000260620,,16,51088639,51090310,RP11-883G14.4,lincRNA
ENSG00000100319,"zinc finger, matrin-type 5 [Source:HGNC Symbol;Acc:28046]",22,30126945,30163000,ZMAT5,protein_coding
ENSG00000112499,"solute carrier family 22 (organic cation transporter), member 2 [Source:HGNC Symbol;Acc:10966]",6,160592093,160698670,SLC22A2,protein_coding
ENSG00000255002,,14,65679611,65689065,CTD-2509G16.2,lincRNA
ENSG00000179094,period circadian clock 1 [Source:HGNC Symbol;Acc:8845],17,8043790,8059824,PER1,protein_coding
ENSG00000147872,perilipin 2 [Source:HGNC Symbol;Acc:248],9,19108373,19149288,PLIN2,protein_coding
ENSG00000174939,aspartate beta-hydroxylase domain containing 1 [Source:HGNC Symbol;Acc:27380],16,29911696,29931185,ASPHD1,protein_coding
ENSG00000242339,,3,84934087,84942530,RP11-735B13.2,lincRNA
ENSG00000256022,,12,128115793,128121012,RP11-526P6.1,lincRNA
ENSG00000135624,"chaperonin containing TCP1, subunit 7 (eta) [Source:HGNC Symbol;Acc:1622]",2,73460548,73480149,CCT7,protein_coding
ENSG00000268156,,14,77882741,77883115,FKSG61,protein_coding
ENSG00000129521,egl-9 family hypoxia-inducible factor 3 [Source:HGNC Symbol;Acc:14661],14,34393437,34931980,EGLN3,protein_coding
ENSG00000156671,sterile alpha motif domain containing 8 [Source:HGNC Symbol;Acc:26320],10,76859344,76941881,SAMD8,protein_coding
ENSG00000260850,,16,51388367,51390443,RP11-437L7.1,lincRNA
ENSG00000182415,"chromodomain protein, Y-linked, 2A [Source:HGNC Symbol;Acc:1810]",Y,20137667,20140477,CDY2A,protein_coding
ENSG00000225975,,19,37176342,37178351,AC074138.3,lincRNA
ENSG00000085377,prolyl endopeptidase [Source:HGNC Symbol;Acc:9358],6,105725440,105850959,PREP,protein_coding
ENSG00000120563,lysozyme-like 1 [Source:HGNC Symbol;Acc:30502],10,29577990,29607257,LYZL1,protein_coding
ENSG00000263683,,7,30589833,30591185,RP4-777O23.1,lincRNA
ENSG00000184076,"ubiquinol-cytochrome c reductase, complex III subunit X [Source:HGNC Symbol;Acc:30863]",22,30163358,30166402,UQCR10,protein_coding
ENSG00000144962,spermatogenesis associated 16 [Source:HGNC Symbol;Acc:29935],3,172607148,172859058,SPATA16,protein_coding
ENSG00000259130,,14,21338437,21341751,RP11-219E7.3,lincRNA
ENSG00000091157,WD repeat domain 7 [Source:HGNC Symbol;Acc:13490],18,54318574,54698828,WDR7,protein_coding
ENSG00000267353,,19,37264614,37266810,CTD-2162K18.3,lincRNA
ENSG00000143382,ADAMTS-like 4 [Source:HGNC Symbol;Acc:19706],1,150521884,150533413,ADAMTSL4,protein_coding
ENSG00000254647,insulin [Source:HGNC Symbol;Acc:6081],11,2181009,2182571,INS,protein_coding
ENSG00000256199,,12,64900946,64927418,RP11-439H13.2,lincRNA
ENSG00000147606,"solute carrier family 26 (anion exchanger), member 7 [Source:HGNC Symbol;Acc:14467]",8,92221722,92410378,SLC26A7,protein_coding
ENSG00000106028,"single-stranded DNA binding protein 1, mitochondrial [Source:HGNC Symbol;Acc:11317]",7,141438121,141487722,SSBP1,protein_coding
ENSG00000258918,,14,21366144,21404414,RP11-219E7.4,lincRNA
ENSG00000258772,,14,21384925,21396739,RP11-84C10.3,lincRNA
ENSG00000231418,,7,31454259,31460900,AC006380.3,lincRNA
ENSG00000101161,pre-mRNA processing factor 6 [Source:HGNC Symbol;Acc:15860],20,62612488,62664453,PRPF6,protein_coding
ENSG00000257193,,12,104564173,104571437,RP11-818F20.4,lincRNA
ENSG00000136315,,14,21387500,21388458,RP11-84C10.2,lincRNA
ENSG00000182533,caveolin 3 [Source:HGNC Symbol;Acc:1529],3,8775486,8883492,CAV3,protein_coding
ENSG00000088766,cardiolipin synthase 1 [Source:HGNC Symbol;Acc:16148],20,5986736,6020699,CRLS1,protein_coding
ENSG00000172468,"heat shock transcription factor, Y-linked 1 [Source:HGNC Symbol;Acc:18568]",Y,20708557,20750849,HSFY1,protein_coding
ENSG00000267330,,17,34552690,34554250,AC131056.5,lincRNA
ENSG00000177600,"ribosomal protein, large, P2 [Source:HGNC Symbol;Acc:10377]",11,809647,812880,RPLP2,protein_coding
ENSG00000242384,"TBC1 domain family, member 3H [Source:HGNC Symbol;Acc:30708]",17,34581086,34808061,TBC1D3H,protein_coding
ENSG00000183145,ripply transcriptional repressor 3 [Source:HGNC Symbol;Acc:3047],21,38378450,38391959,RIPPLY3,protein_coding
ENSG00000233812,Uncharacterized protein; cDNA FLJ52611  [Source:UniProtKB/TrEMBL;Acc:B4DXX6],15,32694108,32695493,AC139426.2,protein_coding
ENSG00000241449,,7,149737610,149773744,RP11-545G3.1,lincRNA
ENSG00000050165,dickkopf WNT signaling pathway inhibitor 3 [Source:HGNC Symbol;Acc:2893],11,11984653,12031316,DKK3,protein_coding
ENSG00000267882,"HCG2018772; Uncharacterized protein; cDNA FLJ31609 fis, clone NT2RI2002852  [Source:UniProtKB/TrEMBL;Acc:Q96N05]",20,45947246,45949467,AL031666.2,protein_coding
ENSG00000226686,,19,37742814,37756437,AC012309.5,lincRNA
ENSG00000166926,"membrane-spanning 4-domains, subfamily A, member 6E [Source:HGNC Symbol;Acc:14285]",11,60102304,60164069,MS4A6E,protein_coding
ENSG00000013561,ring finger protein 14 [Source:HGNC Symbol;Acc:10058],5,141337893,141369856,RNF14,protein_coding
ENSG00000085831,tetratricopeptide repeat domain 39A [Source:HGNC Symbol;Acc:18657],1,51752930,51810788,TTC39A,protein_coding
ENSG00000167110,golgin A2 [Source:HGNC Symbol;Acc:4425],9,131018108,131038274,GOLGA2,protein_coding
ENSG00000206127,"golgin A8 family, member O [Source:HGNC Symbol;Acc:44406]",15,32737307,32747835,GOLGA8O,protein_coding
ENSG00000258399,maternally expressed 8 (non-protein coding) [Source:HGNC Symbol;Acc:14574],14,101361107,101402336,MEG8,lincRNA
ENSG00000267067,,17,34990527,34991156,CTB-75G16.3,lincRNA
ENSG00000242258,long intergenic non-protein coding RNA 996 [Source:HGNC Symbol;Acc:27800],7,150130742,150145228,LINC00996,lincRNA
ENSG00000267499,,17,35041203,35041578,CTD-3194G12.1,lincRNA
ENSG00000131831,retinoic acid induced 2 [Source:HGNC Symbol;Acc:9835],X,17818169,17879457,RAI2,protein_coding
ENSG00000111536,interleukin 26 [Source:HGNC Symbol;Acc:17119],12,68595131,68619601,IL26,protein_coding
ENSG00000267785,,17,35078894,35082651,CTD-3194G12.2,lincRNA
ENSG00000122859,neurogenin 3 [Source:HGNC Symbol;Acc:13806],10,71331454,71332994,NEUROG3,protein_coding
ENSG00000184428,"topoisomerase (DNA) I, mitochondrial [Source:HGNC Symbol;Acc:29787]",8,144386554,144442149,TOP1MT,protein_coding
ENSG00000099785,"membrane-associated ring finger (C3HC4) 2, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:28038]",19,8478154,8503901,2-Mar,protein_coding
ENSG00000180089,transmembrane protein 86B [Source:HGNC Symbol;Acc:28448],19,55738007,55741647,TMEM86B,protein_coding
ENSG00000255247,,11,119580630,119584635,CTD-2523D13.1,lincRNA
ENSG00000267605,,19,37756841,37762420,CTD-3220F14.1,lincRNA
ENSG00000185875,threonine synthase-like 1 (S. cerevisiae) [Source:HGNC Symbol;Acc:26160],10,25305587,25315593,THNSL1,protein_coding
ENSG00000258760,,14,65703198,65785508,CTD-2509G16.5,lincRNA
ENSG00000171224,chromosome 10 open reading frame 35 [Source:HGNC Symbol;Acc:23519],10,71390007,71393352,C10orf35,protein_coding
ENSG00000225520,"testis-specific transcript, Y-linked 16 (non-protein coding) [Source:HGNC Symbol;Acc:18840]",Y,7567398,7569288,TTTY16,lincRNA
ENSG00000267381,,19,37978901,37979554,CTD-2086O20.3,lincRNA
ENSG00000185808,"phosphatidylinositol glycan anchor biosynthesis, class P [Source:HGNC Symbol;Acc:3046]",21,38431470,38445470,PIGP,protein_coding
ENSG00000143479,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3 [Source:HGNC Symbol;Acc:3094],1,206808881,206857764,DYRK3,protein_coding
ENSG00000239767,,3,86313705,86316511,RP11-789F5.1,lincRNA
